model_key,model_name,model_label,size_b,pdi_simple,pdi_theory,orig_accuracy,rev_accuracy,text_only_pdi,accuracy_gap,visual_override_ratio
qwen2_vl_2b,Qwen2-VL-2B,Qwen2-VL\n(2 B),2.0,0.3500,0.3300,0.8000,0.6500,0.7900,0.1500,0.5570
llava_1_6_7b,LLaVA-1.6-7B,LLaVA-1.6\n(7 B),7.0,0.4100,0.3900,0.8200,0.5900,0.8300,0.2300,0.5060
qwen2_vl_7b,Qwen2-VL-7B,Qwen2-VL\n(7 B),7.0,0.4900,0.4700,0.8500,0.5100,0.8600,0.3400,0.4302
gemini_1_5_flash,Gemini 1.5 Flash,Gemini 1.5\nFlash,10.0,0.6200,,0.8800,0.3800,0.9100,0.5000,0.3187
internvl2_26b,InternVL2-26B,InternVL2\n(26 B),26.0,0.5900,0.5700,0.8900,0.4100,0.8900,0.4800,0.3371
gpt_4o,GPT-4o,GPT-4o,200.0,0.7100,,0.9100,0.2900,0.9500,0.6200,0.2526
